Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,1568.900024,1604.300049,1566.000000,1599.699951,1599.699951,289
2012-01-04,1596.599976,1618.599976,1594.500000,1611.900024,1611.900024,229
2012-01-05,1610.800049,1624.099976,1597.800049,1619.400024,1619.400024,172
2012-01-06,1622.500000,1627.800049,1616.099976,1616.099976,1616.099976,362
2012-01-08,null,null,null,null,null,null
2012-01-09,1614.300049,1620.099976,1607.500000,1607.500000,1607.500000,20
2012-01-10,1619.900024,1638.000000,1619.900024,1631.000000,1631.000000,8
2012-01-11,1634.800049,1645.400024,1633.800049,1639.199951,1639.199951,47
2012-01-12,1645.199951,1656.099976,1645.199951,1647.300049,1647.300049,65
2012-01-13,1638.900024,1643.400024,1630.400024,1630.400024,1630.400024,84
2012-01-15,null,null,null,null,null,null
2012-01-17,1643.699951,1657.800049,1642.099976,1655.199951,1655.199951,368
2012-01-18,1654.000000,1660.300049,1654.000000,1659.500000,1659.500000,16
2012-01-19,1663.000000,1664.400024,1653.500000,1654.099976,1654.099976,11
2012-01-20,1652.800049,1664.300049,1652.800049,1663.699951,1663.699951,58
2012-01-22,null,null,null,null,null,null
2012-01-23,1676.900024,1680.000000,1669.900024,1678.000000,1678.000000,8
2012-01-24,1666.900024,1668.199951,1664.199951,1664.199951,1664.199951,10
2012-01-25,1673.000000,1706.199951,1672.000000,1699.800049,1699.800049,5
2012-01-26,1729.000000,1729.000000,1721.000000,1726.300049,1726.300049,239
2012-01-27,1727.000000,1734.099976,1727.000000,1731.800049,1731.800049,16
2012-01-29,null,null,null,null,null,null
2012-01-30,1737.199951,1739.900024,1715.699951,1731.000000,1731.000000,175023
2012-01-31,1731.699951,1747.699951,1725.000000,1737.800049,1737.800049,53427
2012-02-01,1738.199951,1751.099976,1734.000000,1747.099976,1747.099976,7540
2012-02-02,1745.099976,1761.099976,1742.900024,1756.800049,1756.800049,2027
2012-02-03,1758.699951,1761.300049,1724.500000,1737.900024,1737.900024,2062
2012-02-05,null,null,null,null,null,null
2012-02-06,1728.000000,1738.300049,1713.300049,1722.800049,1722.800049,543
2012-02-07,1722.000000,1748.000000,1713.199951,1746.400024,1746.400024,726
2012-02-08,1744.000000,1751.500000,1728.199951,1729.300049,1729.300049,272
2012-02-09,1731.400024,1749.699951,1726.099976,1739.000000,1739.000000,955
2012-02-10,1732.699951,1734.400024,1706.400024,1723.300049,1723.300049,119
2012-02-12,null,null,null,null,null,null
2012-02-13,1725.000000,1733.000000,1718.400024,1723.000000,1723.000000,248
2012-02-14,1720.000000,1724.900024,1715.000000,1715.900024,1715.900024,104
2012-02-15,1723.599976,1737.000000,1723.599976,1726.300049,1726.300049,94
2012-02-16,1718.400024,1728.400024,1707.000000,1726.800049,1726.800049,110
2012-02-17,1733.599976,1735.099976,1718.800049,1724.500000,1724.500000,38
2012-02-19,null,null,null,null,null,null
2012-02-21,1736.099976,1760.000000,1733.599976,1757.099976,1757.099976,80
2012-02-22,1758.699951,1781.900024,1750.000000,1770.000000,1770.000000,115
2012-02-23,1774.000000,1786.000000,1773.000000,1784.900024,1784.900024,161
2012-02-24,1778.500000,1780.699951,1771.300049,1775.099976,1775.099976,298
2012-02-26,null,null,null,null,null,null
2012-02-27,1773.599976,1775.599976,1768.099976,1773.599976,1773.599976,129
2012-02-28,1767.900024,1789.400024,1767.900024,1787.000000,1787.000000,841
2012-02-29,1789.900024,1790.400024,1669.000000,1709.900024,1709.900024,306
2012-03-01,1698.599976,1724.599976,1698.599976,1721.099976,1721.099976,359
2012-03-02,1723.000000,1723.000000,1705.199951,1708.800049,1708.800049,214
2012-03-04,null,null,null,null,null,null
2012-03-05,1705.500000,1709.500000,1695.400024,1703.000000,1703.000000,135
2012-03-06,1708.699951,1708.699951,1666.000000,1671.400024,1671.400024,421
2012-03-07,1676.000000,1684.000000,1673.099976,1683.300049,1683.300049,176
2012-03-08,1686.400024,1702.400024,1686.400024,1698.099976,1698.099976,39
2012-03-09,1698.800049,1710.900024,1680.699951,1710.900024,1710.900024,301
2012-03-11,null,null,null,null,null,null
2012-03-12,1708.099976,1708.099976,1694.900024,1699.199951,1699.199951,73
2012-03-13,1698.400024,1698.400024,1685.099976,1693.699951,1693.699951,98
2012-03-14,1676.900024,1681.000000,1637.400024,1642.500000,1642.500000,47
2012-03-15,1646.300049,1660.199951,1640.000000,1659.099976,1659.099976,201
2012-03-16,1660.000000,1661.400024,1641.300049,1655.500000,1655.500000,405
2012-03-18,null,null,null,null,null,null
2012-03-19,1661.199951,1668.000000,1652.099976,1666.900024,1666.900024,317
2012-03-20,1648.099976,1652.300049,1642.000000,1646.699951,1646.699951,462
2012-03-21,1657.800049,1660.000000,1646.099976,1650.000000,1650.000000,250
2012-03-22,1648.000000,1649.400024,1633.800049,1642.300049,1642.300049,546
2012-03-23,1652.500000,1665.099976,1646.300049,1662.300049,1662.300049,321
2012-03-25,null,null,null,null,null,null
